Ticker,Name
KVUE,Kenvu
KDP,Keurig Dr Peppe
KEY,KeyCor
KEYS,Keysigh
KMB,Kimberly-Clar
KIM,Kimco Realt
KMI,Kinder Morga
KKR,KK
KLAC,KLA Corporatio
KHC,Kraft Hein
KR,Kroge
LHX,L3Harri
LH,LabCor
LRCX,Lam Researc
LW,Lamb Westo
LVS,Las Vegas Sand
LDOS,Leido
LEN,Lenna
LLY,Lilly (Eli
LIN,Linde pl
LYV,Live Nation Entertainmen
LKQ,LKQ Corporatio
LMT,Lockheed Marti
L,Loews Corporatio
LOW,Lowe'
LULU,Lululemon Athletic
LYB,LyondellBasel
MTB,M&T Ban
MRO,Marathon Oi
MPC,Marathon Petroleu
MKTX,MarketAxes
MAR,Marriott Internationa
MMC,Marsh McLenna
MLM,Martin Marietta Material
MAS,Masc
MA,Mastercar
MTCH,Match Grou
MKC,McCormick & Compan
MCD,McDonald'
MCK,McKesson Corporatio
MDT,Medtroni
MRK,Merck & Co
META,Meta Platform
MET,MetLif
MTD,Mettler Toled
MGM,MGM Resort
MCHP,Microchip Technolog
MU,Micron Technolog
MSFT,Microsof
MAA,Mid-America Apartment Communitie
MRNA,Modern
MHK,Mohawk Industrie
MOH,Molina Healthcar
TAP,Molson Coors Beverage Compan
MDLZ,Mondelez Internationa
MPWR,Monolithic Power System
MNST,Monster Beverag
MCO,Moody's Corporatio
MS,Morgan Stanle
MOS,Mosaic Company (The
MSI,Motorola Solution
MSCI,MSC
NDAQ,"Nasdaq, Inc"
NTAP,NetAp
NFLX,Netfli
NEM,Newmon
NWSA,News Corp (Class A
NWS,News Corp (Class B
NEE,NextEra Energ
NKE,"Nike, Inc"
NI,NiSourc
NDSN,Nordson Corporatio
NSC,Norfolk Southern Railwa
NTRS,Northern Trus
NOC,Northrop Grumma
NCLH,Norwegian Cruise Line Holding
NRG,NRG Energ
NUE,Nuco
NVDA,Nvidi
NVR,"NVR, Inc"
NXPI,NXP Semiconductor
ORLY,O'Reilly Auto Part
OXY,Occidental Petroleu
ODFL,Old Dominio
OMC,Omnicom Grou
ON,ON Semiconducto
OKE,ONEO
ORCL,Oracle Corporatio
OTIS,Otis Worldwid
PCAR,Pacca
PKG,Packaging Corporation of Americ
PANW,Palo Alto Network
PARA,Paramount Globa
PH,Parker Hannifi
PAYX,Payche
PAYC,Payco
PYPL,PayPa
PNR,Pentai
PEP,PepsiC
PFE,Pfize
PCG,PG&E Corporatio
PM,Philip Morris Internationa
PSX,Phillips 6
PNW,Pinnacle Wes
PNC,PNC Financial Service
POOL,Pool Corporatio
PPG,PPG Industrie
PPL,PPL Corporatio
PFG,Principal Financial Grou
PG,Procter & Gambl
PGR,Progressive Corporatio
PLD,Prologi
PRU,Prudential Financia
PEG,Public Service Enterprise Grou
PTC,PT
PSA,Public Storag
PHM,PulteGrou
QRVO,Qorv
PWR,Quanta Service
QCOM,Qualcom
DGX,Quest Diagnostic
RL,Ralph Lauren Corporatio
RJF,Raymond Jame
RTX,RTX Corporatio
O,Realty Incom
REG,Regency Center
REGN,Regenero
RF,Regions Financial Corporatio
RSG,Republic Service
RMD,ResMe
RVTY,Revvit
ROK,Rockwell Automatio
ROL,"Rollins, Inc"
ROP,Roper Technologie
ROST,Ross Store
RCL,Royal Caribbean Grou
SPGI,S&P Globa
CRM,Salesforc
SBAC,SBA Communication
SLB,Schlumberge
STX,Seagate Technolog
SRE,Sempr
NOW,ServiceNo
SHW,Sherwin-William
SPG,Simon Property Grou
SWKS,Skyworks Solution
SJM,J.M. Smucker Company (The
SW,Smurfit WestRoc
SNA,Snap-o
SOLV,Solventu
SO,Southern Compan
LUV,Southwest Airline
SWK,Stanley Black & Decke
SBUX,Starbuck
STT,State Street Corporatio
STLD,Steel Dynamic
STE,Steri
SYK,Stryker Corporatio
SMCI,Supermicr
SYF,Synchrony Financia
SNPS,Synopsy
SYY,Sysc
TMUS,T-Mobile U
TROW,T. Rowe Pric
TTWO,Take-Two Interactiv
TPR,"Tapestry, Inc"
TRGP,Targa Resource
TGT,Target Corporatio
TEL,TE Connectivit
TDY,Teledyne Technologie
TFX,Telefle
TER,Teradyn
TSLA,"Tesla, Inc"
TXN,Texas Instrument
TXT,Textro
TMO,Thermo Fisher Scientifi
TJX,TJX Companie
TSCO,Tractor Suppl
TT,Trane Technologie
TDG,TransDigm Grou
TRV,Travelers Companies (The
TRMB,Trimble Inc
TFC,Truis
TYL,Tyler Technologie
TSN,Tyson Food
USB,U.S. Ban
UBER,Ube
UDR,"UDR, Inc"
ULTA,Ulta Beaut
UNP,Union Pacific Corporatio
UAL,United Airlines Holding
UPS,United Parcel Servic
URI,United Rental
UNH,UnitedHealth Grou
UHS,Universal Health Service
VLO,Valero Energ
VTR,Venta
VLTO,Veralt
